"","X","id","date","Time_today","numberof_Timesattend","Total_membersAttend","Attend_2000","Attend_1999","Event1st_mostimportant","Event2nd_mostimportant","Event3rd_mostimportant","Event4th_mostimportant","Event5th_mostimportant","show_concocrane","show_heatherSmith","show_trooper","show_prairieOyster","show_skarecrow","show_widemouthmason","show_mcMaster&James","show_leahy","show_ritachairelli","show_mollyJohnson","Spent_carnival","Spent_food","Spent_beerwine","Spent_vendoritems","Spent_buckforBands","Spend_moretoday","Ten_admissionattend","AttendingSpent_merchandise","AttendingSpent_food","AttendingSpent_otherpurposes","Town","Total_Householdmembers","Education_Level","Age_range","Occupation","Hosehold_Income2000","Event1st_mostimportant1","Event2nd_mostimportant1","Event3rd_mostimportant1","Event4th_mostimportant1","Event5th_mostimportant1","Spent_Carnival1","Spent_food1","Spent_Beer&Wine1","Spent_Vendors1","Spent_Buck for Bands1","Spend_more1","Spent_Downtownmerch","Spent_Downtownfood","Spent_Downtownother","Ten_admissionattend1","House_members","Age_Range"
"863",878,878,16,1,"One time",2,"No","Yes",3,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,15,25,33,10,50,3,60,44,46,"Burlington",6,"University graduate","E-60-69","E-Reired","U-$100,000 and more","Stage shows","Food,bear,wine","Vendors","Stage shows","Food,bear,wine","$51-100","$11-20","$21-50","$21-50","$6-10","$21-50","$51-100","$21-50","$21-50","Might or might not","6-8","E-60-69"
"864",879,879,16,2,"Two times",2,"Yes","Yes",2,4,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,15,37.6,5,1.6,5,1,52,35,15,"Burlington",3,"Vocational training","T-25-29","M-Sales position","W-$40,000-$59,999","Carnival","Food,bear,wine","Vendors","Parade","Stage shows","$21-50","$11-20","$21-50","$0-5","$0-5","$0-5","$51-100","$21-50","$11-20","Definitely would not","3-5","T-25-29"
"865",880,880,16,0.1,"One time",1,"No","No",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,11.5,17,15,5,20,3,23,18,11,"Hamilton",3,"Some or graduated from community college","V-20-24","O-Student full time","D-$20,000-$39,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$21-50","$11-20","$11-20","$11-20","$0-5","$11-20","$21-50","$11-20","$11-20","Might or might not","3-5","V-20-24"
"866",881,881,16,5,"One time",1,"No","No",5,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,5,15,12,2.8,20,5,46,36,13,"Burlington",5,"High School or less","F-16-19","O-Student full time","B-$60,000-$79,999","Parade","Food,bear,wine","Stage shows","Vendors","Carnival","$21-50","$0-5","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$11-20","Definitely would","3-5","F-16-19"
"867",882,882,16,0.5,"One time",1,"Yes","No",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,5,15,5,5,25,3,40,24,20,"Burlington",4,"High School or less","F-16-19","O-Student full time","L-$80,000-$99,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$21-50","$0-5","$11-20","$0-5","$0-5","$21-50","$21-50","$21-50","$11-20","Might or might not","3-5","F-16-19"
"868",883,883,16,2,"One time",3,"No","No",3,2,4,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4,5,17.4,13,5,10,1,38,25,16,"Burlington",3,"High School or less","A-40-49","M-Sales position","D-$20,000-$39,999","Stage shows","Carnival","Food,bear,wine","Vendors","Parade","$21-50","$0-5","$11-20","$11-20","$0-5","$6-10","$21-50","$21-50","$11-20","Definitely would not","3-5","A-40-49"
"869",884,884,16,2,"Two times",2,"Yes","Yes",3,5,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,53,15,25,40,100,3,25,31,18,"Hamilton",4,"University graduate","A-40-49","Y-Professional","U-$100,000 and more","Stage shows","Parade","Vendors","Carnival","Food,bear,wine","$51-100","$51-100","$11-20","$21-50","$21-50","$51-100","$21-50","$21-50","$11-20","Might or might not","3-5","A-40-49"
"870",885,885,16,0.75,"One time",1,"Yes","Yes",3,4,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.4,8,9.8,12,5,20,3,32,15,28,"Burlington",1,"Some or graduated from community college","G-50-59","H-Office worker","D-$20,000-$39,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$11-20","$6-10","$6-10","$11-20","$0-5","$11-20","$21-50","$11-20","$21-50","Might or might not","0-2","G-50-59"
"871",886,886,16,2,"Two times",5,"No","No",5,4,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,25,15,5,4.6,40,1,96,29,16,"Mississauga",6,"High School or less","G-50-59","B-Not employed outside of home","W-$40,000-$59,999","Parade","Food,bear,wine","Stage shows","Carnival","Vendors","$21-50","$21-50","$11-20","$0-5","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would not","6-8","G-50-59"
"872",887,887,16,0.5,"Two times",2,"Yes","Yes",5,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.6,5,10,20,2.4,30,4,25,15,51,"Burlington",2,"Some or graduated from community college","G-50-59","X-Self employed","U-$100,000 and more","Parade","Stage shows","Food,bear,wine","Vendors","Carnival","$11-20","$0-5","$6-10","$11-20","$0-5","$21-50","$21-50","$11-20","$51-100","Probably would","0-2","G-50-59"
"873",888,888,16,3,"Two times",2,"Yes","No",5,1,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,18.8,18.4,35,5,40,2,28,22,12,"Hamilton",2,"Some or graduated from community college","V-20-24","Y-Professional","W-$40,000-$59,999","Parade","Vendors","Stage shows","Stage shows","Stage shows","$21-50","$11-20","$11-20","$21-50","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would not","0-2","V-20-24"
"874",889,889,16,2,"Two times",1,"Yes","No",5,4,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,20,18,25,5,20,5,35,45,15,"Burlington",4,"University graduate","T-25-29","Y-Professional","L-$80,000-$99,999","Parade","Food,bear,wine","Stage shows","Vendors","Carnival","$21-50","$11-20","$11-20","$21-50","$0-5","$11-20","$21-50","$21-50","$11-20","Definitely would","3-5","T-25-29"
"875",890,890,16,3,"Two times",2,"Yes","Yes",5,3,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8,10,10,10,5,30,3,62,42,15,"Burlington",3,"Some university","T-25-29","M-Sales position","W-$40,000-$59,999","Parade","Stage shows","Vendors","Carnival","Food,bear,wine","$11-20","$6-10","$6-10","$6-10","$0-5","$21-50","$51-100","$21-50","$11-20","Might or might not","3-5","T-25-29"
"876",891,891,16,0.5,"Three times",1,"Yes","Yes",3,1,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,20,20,5,5,30,3,35,36,17,"Hamilton",1,"Some graduate school or graduate degree","T-25-29","Y-Professional","W-$40,000-$59,999","Stage shows","Vendors","Food,bear,wine","Parade","Carnival","$21-50","$11-20","$11-20","$0-5","$0-5","$21-50","$21-50","$21-50","$11-20","Might or might not","0-2","T-25-29"
"877",892,892,16,5,"One time",3,"No","No",3,1,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.25,16.8,13,15,4.8,50,3,24,16,9,"Hamilton",3,"High School or less","A-40-49","H-Office worker","W-$40,000-$59,999","Stage shows","Vendors","Food,bear,wine","Parade","Carnival","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$11-20","$6-10","Might or might not","3-5","A-40-49"
"878",893,893,16,2,"Two times",1,"Yes","Yes",3,4,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,15,20,45,16.8,100,3,39,24,11,"Oakville",1,"University graduate","D-30-39","L-Managerial position","B-$60,000-$79,999","Stage shows","Food,bear,wine","Vendors","Parade","Carnival","$51-100","$11-20","$11-20","$21-50","$11-20","$51-100","$21-50","$21-50","$11-20","Might or might not","0-2","D-30-39"
"879",894,894,16,4,"One time",4,"Yes","No",4,5,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,9,20,20,6,50,2,15,12,10,"Oakville",4,"Some university","D-30-39","Y-Professional","W-$40,000-$59,999","Food,bear,wine","Parade","Stage shows","Vendors","Carnival","$21-50","$6-10","$11-20","$11-20","$6-10","$21-50","$11-20","$11-20","$6-10","Probably would not","3-5","D-30-39"
"880",895,895,16,2,"One time",1,"Yes","No",3,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,12,10,55,5,10,3,37,18,28,"Hamilton",1,"Some or graduated from community college","T-25-29","D-Skilled labour","D-$20,000-$39,999","Stage shows","Carnival","Carnival","Stage shows","Food,bear,wine","$11-20","$11-20","$6-10","$51-100","$0-5","$6-10","$21-50","$11-20","$21-50","Might or might not","0-2","T-25-29"
"881",896,896,16,0.5,"Two times",4,"No","No",4,3,1,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,25,15,15,5,50,5,43,45,41,"Burlington",5,"High School or less","G-50-59","Y-Professional","B-$60,000-$79,999","Food,bear,wine","Stage shows","Vendors","Carnival","Parade","$21-50","$21-50","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$21-50","Definitely would","3-5","G-50-59"
"882",897,897,17,0.1,"Two times",2,"Yes","Yes",3,4,5,1,2,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,17,4,12,12,4,15,5,32,24.2,18,"Burlington",3,"High School or less","A-40-49","M-Sales position","G-$10,000-$19,999","Stage shows","Food,bear,wine","Parade","Vendors","Carnival","$11-20","$0-5","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$11-20","Definitely would","3-5","A-40-49"
"883",898,898,17,0.5,"One time",2,"No","No",1,2,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4,10,5.8,13,1,20,2,64,40,78,"Other",3,"Some or graduated from community college","D-30-39","Y-Professional","L-$80,000-$99,999","Vendors","Carnival","Stage shows","Parade","Food,bear,wine","$11-20","$6-10","$6-10","$11-20","$0-5","$11-20","$51-100","$21-50","$51-100","Probably would not","3-5","D-30-39"
"884",899,899,17,0.5,"One time",2,"No","No",2,1,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,15,16,9,2.6,20,4,23,50,30,"Toronto",4,"University graduate","A-40-49","C-Other","D-$20,000-$39,999","Carnival","Vendors","Stage shows","Food,bear,wine","Parade","$21-50","$11-20","$11-20","$6-10","$0-5","$11-20","$21-50","$21-50","$21-50","Probably would","3-5","A-40-49"
"885",900,900,17,2,"Two times",2,"Yes","No",4,5,2,3,1,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,40,55,50,20,4.8,26,4,31,23,28,"Burlington",6,"Some or graduated from community college","D-30-39","Y-Professional","B-$60,000-$79,999","Food,bear,wine","Parade","Carnival","Stage shows","Vendors","$21-50","$51-100","$21-50","$11-20","$0-5","$21-50","$21-50","$21-50","$21-50","Probably would","6-8","D-30-39"
"886",901,901,17,2,"One time",2,"Yes","Yes",4,2,5,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,2,39,11,2,31,4,41,54.4,19,"Burlington",2,"University graduate","A-40-49","M-Sales position","U-$100,000 and more","Food,bear,wine","Carnival","Parade","Stage shows","Vendors","$21-50","$0-5","$21-50","$11-20","$0-5","$21-50","$21-50","$51-100","$11-20","Probably would","0-2","A-40-49"
"887",902,902,17,0.75,"Three times",3,"Yes","Yes",3,2,4,5,1,NA,NA,NA,NA,NA,NA,NA,"Yes",NA,NA,25,15,17,15,4,21,3,39,42,34,"Burlington",3,"Some or graduated from community college","A-40-49","Y-Professional","B-$60,000-$79,999","Stage shows","Carnival","Food,bear,wine","Parade","Vendors","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$21-50","Might or might not","3-5","A-40-49"
"888",903,903,17,1,"Two times",1,"No","No",3,2,2,3,4,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,27,20,21,17,4.6,25,5,53,50,13,"Burlington",1,"University graduate","D-30-39","Y-Professional","B-$60,000-$79,999","Stage shows","Carnival","Carnival","Stage shows","Food,bear,wine","$21-50","$11-20","$21-50","$11-20","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would","0-2","D-30-39"
"889",904,904,17,0.5,"Three times",3,"Yes","Yes",3,5,4,2,1,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,24,20,16,13,3,31,4,68,30,34,"Burlington",3,"High School or less","A-40-49","C-Other","B-$60,000-$79,999","Stage shows","Parade","Food,bear,wine","Carnival","Vendors","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$21-50","Probably would","3-5","A-40-49"
"890",905,905,17,1,"One time",2,"No","No",3,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4,8.2,14,3.2,10,4,34,20,5,"Burlington",2,"High School or less","A-40-49","M-Sales position","L-$80,000-$99,999","Stage shows","Vendors","Food,bear,wine","Stage shows","Food,bear,wine","$11-20","$0-5","$6-10","$11-20","$0-5","$6-10","$21-50","$11-20","$0-5","Probably would","0-2","A-40-49"
"891",906,906,17,0.2,"One time",4,"No","No",2,3,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,9,19,12,2.2,20,4,23,32,10,"Burlington",5,"Some or graduated from community college","D-30-39","L-Managerial position","B-$60,000-$79,999","Carnival","Stage shows","Vendors","Food,bear,wine","Parade","$11-20","$6-10","$11-20","$11-20","$0-5","$11-20","$21-50","$21-50","$6-10","Probably would","3-5","D-30-39"
"892",907,907,17,1,"Two times",4,"No","No",3,5,4,1,2,NA,"Yes",NA,NA,NA,NA,"Yes",NA,NA,NA,21,3,18,10,2.4,26,2,44,38,17,"Burlington",8,"Some or graduated from community college","D-30-39","X-Self employed","U-$100,000 and more","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$0-5","$11-20","$6-10","$0-5","$21-50","$21-50","$21-50","$11-20","Probably would not","6-8","D-30-39"
"893",908,908,17,0.1,"Two times",1,"Yes","No",3,2,1,4,5,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,10,20,17,5,10,4,47,40,20,"Burlington",1,"University graduate","D-30-39","M-Sales position","B-$60,000-$79,999","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$11-20","$6-10","$11-20","$11-20","$0-5","$6-10","$21-50","$21-50","$11-20","Probably would","0-2","D-30-39"
"894",909,909,17,1.5,"One time",2,"Yes","Yes",2,3,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,3,18.7,14,2,2,2,26,39,10,"Burlington",1,"Some university","G-50-59","L-Managerial position","L-$80,000-$99,999","Carnival","Stage shows","Parade","Vendors","Food,bear,wine","$11-20","$0-5","$11-20","$11-20","$0-5","$0-5","$21-50","$21-50","$6-10","Probably would not","0-2","G-50-59"
"895",910,910,17,0.75,"One time",3,"No","No",1,3,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,5,13,13,4,22,4,74,44,37,"Other",3,"University graduate","E-60-69","E-Reired","U-$100,000 and more","Vendors","Stage shows","Parade","Food,bear,wine","Carnival","$21-50","$0-5","$11-20","$11-20","$0-5","$21-50","$51-100","$21-50","$21-50","Probably would","3-5","E-60-69"
"896",911,911,17,0.5,"Two times",1,"Yes","Yes",3,2,5,4,1,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,19,3,20,10,2,15,1,46,50,14,"Burlington",2,"University graduate","G-50-59","L-Managerial position","B-$60,000-$79,999","Stage shows","Carnival","Parade","Food,bear,wine","Vendors","$11-20","$0-5","$11-20","$6-10","$0-5","$11-20","$21-50","$21-50","$11-20","Definitely would not","0-2","G-50-59"
"897",912,912,17,2,"One time",3,"No","No",2,4,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,20,18,10,3.2,20,4,66,20,46,"Hamilton",3,"University graduate","G-50-59","B-Not employed outside of home","U-$100,000 and more","Carnival","Food,bear,wine","Vendors","Stage shows","Parade","$21-50","$11-20","$11-20","$6-10","$0-5","$11-20","$51-100","$11-20","$21-50","Probably would","3-5","G-50-59"
"898",913,913,17,0.2,"One time",2,"No","No",3,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,14,11.6,8,3,20,2,24,10,14,"Oakville",4,"High School or less","A-40-49","L-Managerial position","U-$100,000 and more","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$11-20","$11-20","$11-20","$6-10","$0-5","$11-20","$21-50","$6-10","$11-20","Probably would not","3-5","A-40-49"
"899",914,914,17,0.5,"One time",5,"Yes","Yes",2,1,4,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,14,14,2.6,25,4,19,16,33,"Oakville",5,"University graduate","A-40-49","L-Managerial position","U-$100,000 and more","Carnival","Vendors","Food,bear,wine","Stage shows","Parade","$11-20","$11-20","$11-20","$11-20","$0-5","$21-50","$11-20","$11-20","$21-50","Probably would","3-5","A-40-49"
"900",915,915,17,1.5,"One time",4,"No","Yes",2,4,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,31.6,17,10.6,45,3,26,29,19,"Other",4,"University graduate","T-25-29","L-Managerial position","L-$80,000-$99,999","Carnival","Food,bear,wine","Stage shows","Parade","Vendors","$21-50","$21-50","$21-50","$11-20","$11-20","$21-50","$21-50","$21-50","$11-20","Might or might not","3-5","T-25-29"
"901",916,916,17,2,"One time",4,"Yes","Yes",2,3,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,15,29.6,40,7.2,100,3,35,65,26,"Burlington",4,"University graduate","D-30-39","Y-Professional","B-$60,000-$79,999","Carnival","Stage shows","Vendors","Food,bear,wine","Parade","$51-100","$11-20","$21-50","$21-50","$6-10","$51-100","$21-50","$51-100","$21-50","Might or might not","3-5","D-30-39"
"902",917,917,17,5,"One time",3,"No","No",3,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,10.6,16,9,2.6,15,2,31,18,18,"Other",3,"University graduate","G-50-59","H-Office worker","B-$60,000-$79,999","Stage shows","Food,bear,wine","Carnival","Carnival","Stage shows","$11-20","$11-20","$11-20","$6-10","$0-5","$11-20","$21-50","$11-20","$11-20","Probably would not","3-5","G-50-59"
"903",918,918,17,6,"Two times",3,"No","No",3,2,3,4,3,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,50,11,4.2,35,4,66,35,74,"Other",1,"Some or graduated from community college","T-25-29","X-Self employed","W-$40,000-$59,999","Stage shows","Carnival","Stage shows","Food,bear,wine","Stage shows","$11-20","$11-20","$21-50","$11-20","$0-5","$21-50","$51-100","$21-50","$51-100","Probably would","0-2","T-25-29"
"904",919,919,17,0.5,"One time",3,"No","No",3,4,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.6,21.6,30.8,10,3.6,54,5,44,20,31,"Other",3,"University graduate","D-30-39","H-Office worker","W-$40,000-$59,999","Stage shows","Food,bear,wine","Vendors","Stage shows","Food,bear,wine","$21-50","$21-50","$21-50","$6-10","$0-5","$51-100","$21-50","$11-20","$21-50","Definitely would","3-5","D-30-39"
"905",920,920,17,0.2,"Two times",3,"Yes","Yes",5,3,2,2,3,"Yes",NA,NA,NA,NA,NA,NA,NA,"Yes","Yes",30,8.8,30,23,3.4,53,1,31,30,8,"Burlington",3,"University graduate","A-40-49","L-Managerial position","U-$100,000 and more","Parade","Stage shows","Carnival","Carnival","Stage shows","$21-50","$6-10","$21-50","$21-50","$0-5","$51-100","$21-50","$21-50","$6-10","Definitely would not","3-5","A-40-49"
"906",921,921,17,0.5,"Two times",1.6,"No","Yes",3,3,3,2,4,NA,NA,"Yes","Yes",NA,NA,NA,NA,NA,NA,27.2,7.4,14.4,9,4.2,27,4,43,23,9,"Burlington",4,"University graduate","G-50-59","E-Reired","D-$20,000-$39,999","Stage shows","Stage shows","Stage shows","Carnival","Food,bear,wine","$21-50","$6-10","$11-20","$6-10","$0-5","$21-50","$21-50","$21-50","$6-10","Probably would","3-5","G-50-59"
"907",922,922,17,0.2,"One time",1,"Yes","Yes",3,5,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,11.6,19,15,2.6,37,2,44,33,47,"Burlington",1,"Some or graduated from community college","A-40-49","A-Teacher","D-$20,000-$39,999","Stage shows","Parade","Food,bear,wine","Vendors","Carnival","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$21-50","$21-50","$21-50","Probably would not","0-2","A-40-49"
"908",923,923,17,0.2,"Two times",2,"Yes","Yes",3,1,4,3,3,NA,NA,"Yes",NA,NA,NA,NA,NA,NA,NA,23,20,10,17,2.6,44,4,19,43,18,"Burlington",4,"Some or graduated from community college","D-30-39","D-Skilled labour","B-$60,000-$79,999","Stage shows","Vendors","Food,bear,wine","Stage shows","Stage shows","$21-50","$11-20","$6-10","$11-20","$0-5","$21-50","$11-20","$21-50","$11-20","Probably would","3-5","D-30-39"
"909",924,924,17,0.5,"Two times",2,"Yes","Yes",3,1,2,5,4,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,8,8,9,3.2,30,4,17,52,57,"Burlington",2,"Some or graduated from community college","A-40-49","H-Office worker","W-$40,000-$59,999","Stage shows","Vendors","Carnival","Parade","Food,bear,wine","$11-20","$6-10","$6-10","$6-10","$0-5","$21-50","$11-20","$51-100","$51-100","Probably would","0-2","A-40-49"
"910",925,925,17,0.25,"Three times",1,"No","Yes",3,1,4,3,4,"Yes",NA,"Yes","Yes",NA,NA,NA,NA,"Yes","Yes",28.2,12.4,12,13,2.4,39,2,109,30,32,"Oakville",2,"Some or graduated from community college","D-30-39","D-Skilled labour","L-$80,000-$99,999","Stage shows","Vendors","Food,bear,wine","Stage shows","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$101-200","$21-50","$21-50","Probably would not","0-2","D-30-39"
"911",926,926,17,1,"Two times",2,"No","Yes",3,2,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes",15.8,5.6,10.9,17,2,10,2,50,32.2,13,"Burlington",2,"University graduate","E-60-69","M-Sales position","U-$100,000 and more","Stage shows","Carnival","Parade","Carnival","Food,bear,wine","$11-20","$6-10","$11-20","$11-20","$0-5","$6-10","$21-50","$21-50","$11-20","Probably would not","0-2","E-60-69"
"912",927,927,17,2,"Two times",2,"Yes","No",3,2,1,4,5,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",21.4,15,21,13,3.4,10,3,72,53,33,"Burlington",2,"Some graduate school or graduate degree","E-60-69","E-Reired","L-$80,000-$99,999","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$21-50","$11-20","$21-50","$11-20","$0-5","$6-10","$51-100","$51-100","$21-50","Might or might not","0-2","E-60-69"
"913",928,928,17,1,"One time",1,"No","No",3,4,1,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,12.4,17,15,4.6,46,2,20,23,12,"Toronto",3,"University graduate","A-40-49","A-Teacher","U-$100,000 and more","Stage shows","Food,bear,wine","Vendors","Stage shows","Parade","$21-50","$11-20","$11-20","$11-20","$0-5","$21-50","$11-20","$21-50","$11-20","Probably would not","3-5","A-40-49"
"914",929,929,17,2,"Three times",1,"Yes","No",1,3,5,3,2,"Yes",NA,"Yes","Yes",NA,NA,NA,"Yes",NA,NA,10.2,4,2,10,2,24,2,26,32,21,"Burlington",3,"High School or less","A-40-49","D-Skilled labour","G-$10,000-$19,999","Vendors","Stage shows","Parade","Stage shows","Carnival","$11-20","$0-5","$0-5","$6-10","$0-5","$21-50","$21-50","$21-50","$21-50","Probably would not","3-5","A-40-49"
"915",930,930,17,0.1,"Two times",1,"Yes","Yes",4,3,5,1,2,"Yes",NA,"Yes","Yes",NA,"Yes",NA,NA,NA,NA,15.4,9.2,10,13,2.4,10,5,144,88,30,"Burlington",3,"High School or less","D-30-39","D-Skilled labour","U-$100,000 and more","Food,bear,wine","Stage shows","Parade","Vendors","Carnival","$11-20","$6-10","$6-10","$11-20","$0-5","$6-10","$101-200","$51-100","$21-50","Definitely would","3-5","D-30-39"
"916",931,931,17,1,"Three times",6,"Yes","Yes",5,2,3,2,3,"Yes",NA,NA,NA,NA,NA,NA,NA,"Yes",NA,20,10,16.6,20,2,20,5,10,17,19,"Burlington",6,"Some university","D-30-39","H-Office worker","B-$60,000-$79,999","Parade","Carnival","Stage shows","Carnival","Stage shows","$11-20","$6-10","$11-20","$11-20","$0-5","$11-20","$6-10","$11-20","$11-20","Definitely would","6-8","D-30-39"
"917",932,932,17,1.5,NA,1,"No","Yes",3,2,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,16.8,22.4,8,2,25,5,75,25,12,"Hamilton",2,"High School or less","A-40-49","P-Unskilled labour","D-$20,000-$39,999","Stage shows","Carnival","Vendors","Food,bear,wine","Parade","$21-50","$11-20","$21-50","$6-10","$0-5","$21-50","$51-100","$21-50","$11-20","Definitely would","0-2","A-40-49"
"918",933,933,17,2,"One time",4,"Yes","Yes",3,2,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,20,21,19,10.4,71,5,155,61,39,"Hamilton",3,"Some university","A-40-49","Y-Professional","B-$60,000-$79,999","Stage shows","Carnival","Food,bear,wine","Carnival","Stage shows","$51-100","$11-20","$21-50","$11-20","$11-20","$51-100","$101-200","$51-100","$21-50","Definitely would","3-5","A-40-49"
"919",934,934,17,1,"One time",3,"Yes","Yes",3,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2,10.4,7,2,1,4,37,24,13,"Oakville",2,"High School or less","E-60-69","E-Reired","D-$20,000-$39,999","Stage shows","Food,bear,wine","Carnival","Carnival","Food,bear,wine","$21-50","$0-5","$11-20","$6-10","$0-5","$0-5","$21-50","$21-50","$11-20","Probably would","0-2","E-60-69"
"920",935,935,17,3,"One time",3,"Yes","Yes",3,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.4,15,25,10,5,20,4,32,20,50,"Hamilton",5,"Some or graduated from community college","A-40-49","X-Self employed","D-$20,000-$39,999","Stage shows","Food,bear,wine","Carnival","Carnival","Stage shows","$21-50","$11-20","$21-50","$6-10","$0-5","$11-20","$21-50","$11-20","$21-50","Probably would","3-5","A-40-49"
"921",936,936,17,0.5,"One time",2,"Yes","Yes",3,2,1,4,4,NA,NA,NA,NA,NA,"Yes",NA,NA,NA,NA,36,14.4,11.4,16,7,40,3,20,20,17,"Other",4,"University graduate","B-70 and older","M-Sales position","U-$100,000 and more","Stage shows","Carnival","Vendors","Food,bear,wine","Food,bear,wine","$21-50","$11-20","$11-20","$11-20","$6-10","$21-50","$11-20","$11-20","$11-20","Might or might not","3-5","B-70 and older"
"922",937,937,17,1,"One time",2,"Yes","Yes",5,3,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6,3.6,28,13,2,3,3,24,20,13,"Burlington",3,"Some or graduated from community college","A-40-49","H-Office worker","B-$60,000-$79,999","Parade","Stage shows","Food,bear,wine","Vendors","Carnival","$11-20","$0-5","$21-50","$11-20","$0-5","$0-5","$21-50","$11-20","$11-20","Might or might not","3-5","A-40-49"
